Giày thể thao/Giày tập luyện & Giày tập gym,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày trượt băng & trượt patin,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày thể thao trẻ em,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Kính mắt thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Tất thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Optional,Optional,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Đồng hồ bấm giờ và đồng hồ hẹn giờ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng bầu dục Rugby,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị thể thao dưới nước/Bơi lội,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Optional,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị thể thao dưới nước/Chèo thuyền,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị thể thao mùa đông/Trượt ván trên tuyết,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Tập tạ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Máy tập thể hình,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Xà đơn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Gậy đi bộ đường dài,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Thảm & Giỏ dã ngoại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Nội thất cắm trại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Thảm thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
"Đồ bơi, đồ lướt sóng & đồ lặn/Quần bơi ngắn và quần bơi",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
"Đồ bơi, đồ lướt sóng & đồ lặn/Quần lót",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
"Đồ bơi, đồ lướt sóng & đồ lặn/Đồ bơi dài tay",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
"Đồ bơi, đồ lướt sóng & đồ lặn/Đồ bơi thi đấu",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
